829,1535,227442,227464,3792,3725,4194,50822,50971,,,,,,,
837,220645,4194,3725,3803,226534,1536,4195,3726,50983,50824,228389,228390,,,
788,220602,1523,4193,3724,226536,3747,50902,50806,228385,228386,,,,,
225664,807,811,1529,220621,226537,3744,50809,50931,1310,1455,1812,2338,3745,228388,51529
781,1162,225624,3737,51006,5876,,,,,,,,,,
791,1525,220615,3750,50912,,,,,,,,,,,
821,1532,220635,50960,,,,,,,,,,,,
786,225625,1522,3746,50893,,,,,,,,,,,
816,225667,3766,50808,1350,8177,8325,,,,,,,,,
777,787,50804,857,3773,3830,225698,223679,220245,,,,,,,
770,3801,50878,220587,,,,,,,,,,,,
769,3802,50861,220644,,,,,,,,,,,,
1538,848,225690,51464,50885,,,,,,,,,,,
803,1527,225651,50883,,,,,,,,,,,,
3807,1539,849,50976,220650,,,,,,,,,,,
772,1521,227456,3727,50862,2358,3066,220574,,,,,,,,
227429,851,51002,51003,,,,,,,,,,,,
227444,50889,220612,,,,,,,,,,,,,
814,220228,50811,51222,7965,50855,51212,51223,51224,51225,,,,,,
813,220545,3761,226540,51221,50810,,,,,,,,,,
4197,3799,51279,833,,,,,,,,,,,,
1127,1542,220546,4200,51533,51300,861,,,,,,,,,
828,227457,3789,51265,6256,225678,,,,,,,,,,
220562,1533,227466,3796,51275,,,,,,,,,,,
824,1286,51274,220560,227465,,,,,,,,,,,
1671,1520,768,220507,,,,,,,,,,,,
815,1530,227467,51237,220561,,,,,,,,,,,
780,1126,3839,4753,50820,4202,7459,220274,,,,,,,,
779,490,3785,3838,3837,50821,3775,4203,220224,226063,227516,,,,,
778,3784,3836,3835,50818,3774,4201,220235,226062,,,,,,,
776,224828,3829,4196,3740,74,50802,,,,,,,,,
50813,,,,,,,,,,,,,,,
227443,50882,50803,812,224826,,,,,,,,,,,
1817,228640,,,,,,,,,,,,,,
823,227686,822,2396,3831,6024,7293,225674,226541,227685,,,,,,
