226707,226730,,,,,,,,,,,,,,,,,
581,580,224639,226512,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,
228096,,,,,,,,,,,,,,,,,,
211,220045,,,,,,,,,,,,,,,,,
220179,225309,6701,6,227243,224167,51,455,442,480,482,484,220050,,,,,,
220181,220052,225312,224322,6702,443,52,456,,,,,,,,,,,
8368,227242,225310,8555,8440,8364,8444,8445,8446,220051,220180,224643,,,,,,,
220210,224688,224422,618,224689,619,224690,,,,,,,,,,,,
220277,646,6719,228232,220227,,,,,,,,,,,,,,
3655,223762,676,677,226329,,,,,,,,,,,,,,
223761,678,679,,,,,,,,,,,,,,,,
220074,113,1103,,,,,,,,,,,,,,,,
492,220059,,,,,,,,,,,,,,,,,
491,220061,,,,,,,,,,,,,,,,,
8448,220060,,,,,,,,,,,,,,,,,
116,1372,7610,228368,228177,7610,,,,,,,,,,,,,
626,,,,,,,,,,,,,,,,,,
467,468,226732,,,,,,,,,,,,,,,,
223835,3420,2981,3422,,,,,,,,,,,,,,,
190,7570,,,,,,,,,,,,,,,,,
470,471,223834,227287,227582,,,,,,,,,,,,,,
220339,506,505,224700,60,437,686,1096,1227,5964,6349,6350,6489,6601,6924,6943,7802,7803,224699
224686,224684,684,224421,3083,2566,654,3050,681,2311,639,682,683,2400,2408,2420,2534,3050,224685
224687,450,448,445,449,,,,,,,,,,,,,,
224697,444,,,,,,,,,,,,,,,,,
224695,535,,,,,,,,,,,,,,,,,
224696,543,,,,,,,,,,,,,,,,,
